rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
183,100,0.4,1.4,18,1.0,0.8120387145845384,0.8620956439707547,0.43289345516303923,0.4423721426031846,0.6468515670777132,0.7038153507937785,0.0,0.0,0.05555555555555555
184,280,0.8,1.2,18,1.0,0.814736446519761,0.9229826085997763,0.49378041979206067,0.47818257571355594,0.6242564091326125,0.6912913415717458,0.0,0.0,0.0
185,260,1.0,1.4,18,1.0,0.8165015758528921,0.951222033392738,0.5220198445850226,0.5076527389532481,0.6804279988793769,0.6859966147066364,0.0,0.0,0.0
186,280,0.6,1.0,18,1.0,0.8183749023104023,0.9246739037862647,0.49547171497854925,0.5239084307376843,0.6552384596346166,0.6945069735657651,0.0,0.0,0.0
187,180,0.4,0.6,18,1.0,0.8190548829963464,0.7907277498909248,0.3615255610832093,0.25554214190429725,0.7115485338993841,0.728673492725544,0.0,0.0,0.05555555555555555
188,180,0.4,1.0,18,1.0,0.8203362991236964,0.9091315653296785,0.4799293765219631,0.47520286136610795,0.6938784579313897,0.7003539549932056,0.0,0.0,0.0
189,100,1.0,0.8,18,1.0,0.8211914505442347,0.9364395036559122,0.5072373148481968,0.5382733620374124,0.6243243339264524,0.6943821218321855,0.0,0.0,0.0
190,220,0.8,1.4,18,1.0,0.8239624298326388,0.944232143709406,0.5150299549016907,0.5234638548374331,0.6790535108902805,0.6952049411072161,0.0,0.0,0.0
191,180,0.4,1.2,18,1.0,0.8255600033590138,0.9834462910928694,0.5542441022851536,0.5720308140147499,0.6564999320761539,0.6869989777877253,0.0,0.0,0.0
192,300,0.6,0.8,18,1.0,0.8301901334635535,0.8873989035106415,0.458196714702926,0.41318682227407516,0.6819856216707852,0.715640954787822,0.0,0.0,0.0
193,360,1.0,1.0,18,1.0,0.8305489559556201,0.9359152230300121,0.5067130342222966,0.5167750520281862,0.6629363139326615,0.7038706974000459,0.0,0.0,0.0
194,280,1.2,1.4,18,1.0,0.8310006095419551,0.9863797000132882,0.5571775112055726,0.5433974965045463,0.6800303121028228,0.691706231740562,0.0,0.0,0.0
195,160,0.6,1.4,18,1.0,0.8324294616176339,0.9453499384320653,0.5161477496243498,0.502837130298308,0.673861965947057,0.7033925242115464,0.0,0.0,0.05555555555555555
196,380,1.4,1.2,18,1.0,0.8334523944130218,0.942320642511839,0.5131184537041236,0.5101589166545233,0.640548502165647,0.7051727809869909,0.0,0.0,0.0
197,180,0.4,0.8,18,1.0,0.8347047633275442,0.8414171259993046,0.4122149371915891,0.35349016928584454,0.715078662423898,0.731651029029647,0.0,0.0,0.0
198,120,0.4,1.4,18,1.0,0.8414009953532959,0.910872794383285,0.4816706055755693,0.4790652962095243,0.6694811201291848,0.7209833439594036,0.0,0.0,0.05555555555555555
199,140,1.2,1.4,18,1.0,0.8422047863797821,1.0461938469717609,0.6169916581640456,0.6222550549113601,0.6771061728271369,0.6879568718387707,0.0,0.0,0.0
200,180,0.4,0.4,18,1.0,0.8423213908407339,0.7525880925732484,0.3233859037655329,0.2122982206426104,0.6922535973497749,0.7614749148993507,0.0,0.0,0.1111111111111111
201,300,0.8,1.2,18,1.0,0.8428469082129608,0.9463023125419754,0.51710012373426,0.5047328879264426,0.6456151192719303,0.7135718772793959,0.0,0.0,0.0
202,340,1.2,1.2,18,1.0,0.8437759909153123,0.9849802999503585,0.5557781111426428,0.5631738569959083,0.6722051168572893,0.7048314631296516,0.0,0.0,0.0
203,100,0.8,1.6,18,1.0,0.847180591054485,0.9273382035918145,0.4981360147840991,0.5685980735639039,0.6958034349971327,0.7226465873584602,0.0,0.0,0.0
204,180,0.6,1.4,18,1.0,0.8475386062676765,0.9682458681632838,0.5390436793555682,0.523141295784759,0.6995703142012322,0.7127776864287845,0.0,0.0,0.0
205,240,0.8,1.4,18,1.0,0.8494497858745984,0.9667241851252495,0.5375219963175341,0.5440691028953022,0.7000275847415269,0.7150692867952149,0.0,0.0,0.0
206,160,1.0,1.6,18,1.0,0.8551466803505953,0.9126028232979997,0.4834006344902842,0.5691524690401718,0.6798398217444541,0.7342965217280242,0.0,0.0,0.0
207,400,1.4,1.2,18,1.0,0.8593507729483143,0.9534307305385076,0.5242285417307921,0.529619257211045,0.6469850578377192,0.7282936375156163,0.0,0.0,0.0
208,280,1.0,1.4,18,1.0,0.8620849041732797,0.9702938966357855,0.5410917078280703,0.5194925764825221,0.6974295738931936,0.7268119772162621,0.0,0.0,0.0
209,360,0.8,0.8,18,1.0,0.8634199210211229,0.8996214064464473,0.47041921763873185,0.44220331512064415,0.6624080952999298,0.74581511661144,0.0,0.0,0.0
210,300,1.2,1.4,18,1.0,0.8651598115234094,1.0056311963812197,0.5764290075735041,0.560583430876378,0.691010045839188,0.7210525596300333,0.0,0.0,0.0
211,180,1.0,1.6,18,1.0,0.8662133720768472,0.9203248340548839,0.4911226452471683,0.5701077999860504,0.6956156172406155,0.7434327107650551,0.0,0.0,0.0
212,120,0.8,1.6,18,1.0,0.8662286803191251,0.9042403636561003,0.4750381748483848,0.5493964160453788,0.6919038580894334,0.747469136607029,0.0,0.0,0.0
213,220,1.4,1.4,18,1.0,0.8675590841060941,1.0004656174925914,0.5712634286848759,0.5812967417434732,0.6724967312077221,0.7247432269348751,0.0,0.0,0.0
214,200,1.4,1.4,18,1.0,0.8691981130614934,1.0173656080692683,0.5881634192615528,0.5861775262754707,0.6852293549490647,0.7221572582461052,0.0,0.0,0.0
215,200,0.4,1.0,18,1.0,0.8718755482913532,0.94881338247595,0.5196111936682347,0.522160118431041,0.7038912774070328,0.7419727498742945,0.0,0.0,0.0
216,300,0.6,1.0,18,1.0,0.8722916955784527,0.960174984440846,0.5309727956331304,0.5370972912017037,0.6842047156124456,0.7395484966701701,0.0,0.0,0.0
217,360,1.2,1.2,18,1.0,0.8747422154390287,1.008518900221497,0.5793167114137812,0.5823529524781027,0.6927336505734051,0.7299130375855835,0.0,0.0,0.0
218,140,0.8,1.6,18,1.0,0.8768138893288666,0.908579880175178,0.47937769136746244,0.5583004242139012,0.7017064148287161,0.756969466487001,0.0,0.0,0.0
219,360,1.0,1.2,18,1.0,0.8769362847337852,0.9994390591058715,0.5702368702981561,0.5830576356612585,0.697313056977107,0.7343770671592461,0.0,0.0,0.0
220,180,1.2,1.6,18,1.0,0.8769415250035988,0.9846611704210311,0.5554589816133156,0.5985948255480831,0.7119328079661085,0.7380767796002698,0.0,0.0,0.0
221,260,0.6,1.2,18,1.0,0.8822372159372085,0.9801133528530472,0.5509111640453319,0.5380259667813595,0.6583162225462326,0.7445094249258756,0.0,0.0,0.0
222,240,1.4,1.4,18,1.0,0.8824327778846291,0.998278312762219,0.5690761239545034,0.579388985324388,0.6825226669856964,0.7401637468960033,0.0,0.0,0.0
223,200,0.4,0.6,18,1.0,0.8855468513532931,0.8372155810050791,0.40801339219736366,0.29291258226874317,0.7258498497513846,0.7835435033039522,0.0,0.0,0.0
224,120,1.0,1.6,18,1.0,0.8871186351619543,0.9969808873580729,0.5677786985503572,0.6489497672655974,0.7115291068153039,0.745173960524365,0.0,0.0,0.0
